work,year,primary_source,code_availability,lens_regime,image_regime,inputs,outputs,magnification_target,inference_form,calibration,real_catalog_application,distinction_from_this_project
"Haris et al. — Identifying strongly lensed GW signals",2018,https://arxiv.org/abs/1807.07062,not_assessed,galaxy_macro,separated,GW posterior overlap,pair odds,relative consistency,Bayesian ranking,not posterior coverage,simulated candidates,"Pair identification rather than model-conditional absolute-magnification posterior inference"
"Li et al. — identifying lensed GWs",2019,https://arxiv.org/abs/1802.05089,not_assessed,galaxy_macro,separated,GW population and event parameters,lensing odds and rates,none,population Bayes,not posterior coverage,forecast,"Population/rate framework rather than per-pair multimessenger magnification inference"
"Lo and Magaña Hernandez — Bayesian lensed-GW framework",2023,https://arxiv.org/abs/2104.09339,public implementation reported,galaxy_macro,separated,GW strain and shared binary parameters,lensed-versus-unlensed evidence and lensing observables,relative,Bayesian posterior and evidence,algorithm checks; no amortized coverage claim,method demonstrations,"GW-only joint identification framework; this project conditions absolute magnification on explicit EM lens information and reports calibration"
GOLUM,2023,https://arxiv.org/abs/2304.12148,https://github.com/lemnis12/golum,galaxy_macro,separated,GW strain and posterior from first image,conditional evidence and relative lensing parameters,relative,Bayesian posterior and evidence,PP-style validation reported,simulated and candidate studies,"Fast GW-only pair analysis; no deployable optical-lens observation model for absolute magnification"
Gravelamps,2022,https://arxiv.org/abs/2112.07012,https://github.com/lemnis12/gravelamps,compact_to_macro,wave_optics_or_geometric,GW strain and parameterized lens model,lens parameters and evidence,model-dependent,Bayesian posterior and evidence,injection validation,demonstrations,"General GW lens-parameter inference software rather than calibrated GW+EM galaxy-pair absolute-magnification benchmark"
"Goyal et al. — rapid ML identification",2021,https://arxiv.org/abs/2106.12466,not_assessed,galaxy_macro,separated,GW parameter-estimation summaries,pair classification score,none,classifier,classification metrics,simulations,"Pair classification rather than posterior estimation or calibration of magnifications"
"Seo et al. — dark-halo properties from lensed GWs",2023,https://arxiv.org/abs/2311.05543,not_assessed,galaxy_macro,separated,GW lensing observables plus lens axis ratio and lensed host images,lens-parameter posterior,relative_and_model_dependent,Bayesian lens modeling,simulation studies,forecast,"Closest multimessenger lens-modeling direction; this project targets amortized per-pair magnification posteriors with explicit coverage and split protocol"
"Poon et al. — degeneracies in lensed GW cosmography",2024,https://arxiv.org/abs/2406.06463,not_assessed,galaxy_macro,separated,GW and lens-model information,degeneracy and cosmography analysis,absolute_model_dependent,analytic_and_Bayesian,not an NPE calibration paper,forecast,"Provides the mass-sheet/distance identifiability constraints that this preregistration treats as mandatory conditioning"
"Dax et al. — DINGO importance sampling",2023,https://arxiv.org/abs/2210.05686,https://github.com/dingo-gw/dingo,GW_unlensed,single_event,GW strain,compact-binary posterior and likelihood diagnostics,none,neural posterior plus importance sampling,SBC/PP and efficiency diagnostics,real GW events,"Supplies validated NPE methodology; it does not solve lens magnification or multimessenger conditioning"
"DINGO-lensing",2025,https://arxiv.org/abs/2511.07186,not_assessed,overlapping_or_wave_optics,overlapping,GW strain with lensing distortions,lens and source posterior,model-dependent,neural posterior,simulation calibration reported,not catalog-scale in cited work,"Targets interference/overlapping regimes rather than well-separated galaxy-scale image pairs with optical lens information"
"Qin et al. — neural spline flows for microlensed GWs",2025,https://arxiv.org/abs/2505.20996,not_assessed,stellar_microlens,wave_optics,GW strain,lens/source posterior,model-dependent,neural posterior,simulation diagnostics,not assessed,"Microlensing wave-optics inference; different regime and observables from separated galaxy macro images"
"LVK — O3a lensing search",2021,https://arxiv.org/abs/2105.06384,LVK data products and pipelines,macro_and_microlens,separated_and_wave_optics,public O3a GW data,lensing candidates and constraints,mostly_relative_or_detection,Bayesian searches,background/significance checks,O3a,"Catalog search and candidate assessment rather than calibrated multimessenger absolute-magnification inference"
"LVK — full O3 lensing search",2024,https://arxiv.org/abs/2304.08393,LVK data products and pipelines,macro_and_microlens,separated_and_wave_optics,public O3 GW data,lensing candidates and constraints,mostly_relative_or_detection,multiple Bayesian searches,background/significance checks,full O3,"Defines the public-search context but does not provide the proposed GW+EM posterior product"
"Talts et al. — simulation-based calibration",2018,https://arxiv.org/abs/1804.06788,https://github.com/stan-dev/stat_comp_benchmarks,general,general,prior-predictive simulations,rank diagnostics,not_applicable,diagnostic,method itself,not_applicable,"Methodological basis for independent SBC; not a gravitational-lensing competitor"
